year,nzsioc,nzsioc_descriptor,variable,units,magnitude,source,data_value
2010,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,460079.55
2010,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,174.48
2010,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,174.48
2011,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,474.55
2011,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,953.02
2011,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,416.08
2011,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,62.21
2011,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.18
2011,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.18
2011,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,474551.94
2011,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,953024.62
2011,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,62207.37
2011,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,416081.57
2011,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,183.74
2011,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,183.74
2012,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,557.17
2012,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1039.74
2012,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,420.78
2012,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,61.63
2012,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.16
2012,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.16
2012,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,557169.75
2012,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1039738.17
2012,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,61632.37
2012,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,420777.66
2012,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,158.38
2012,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,158.38
2013,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,535.03
2013,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,974.25
2013,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,381.66
2013,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,57.42
2013,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.14
2013,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.14
2013,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,535026.4
2013,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,974249.88
2013,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,57424.61
2013,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,381658.91
2013,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,139.96
2013,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,139.96
2014,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,457.69
2014,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,908.9
2014,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,391.24
2014,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,59.8
2014,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.16
2014,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.16
2014,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,457693.95
2014,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,908895.02
2014,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,59798.01
2014,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,391242.17
2014,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,160.88
2014,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,160.88
2015,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,486.6
2015,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,951.37
2015,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,403.86
2015,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,60.74
2015,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.17
2015,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.17
2015,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,486604.2
2015,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,951367.05
2015,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,60737.86
2015,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,403857.4
2015,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,167.59
2015,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,167.59
2016,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,412.46
2016,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,868.9
2016,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,396.45
2016,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,59.81
2016,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.18
2016,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.18
2016,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,412459.74
2016,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,868904.48
2016,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,59811.48
2016,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,396454.41
2016,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,178.86
2016,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,178.86
2017,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,498.58
2017,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,988.27
2017,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,425.7
2017,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,63.81
2017,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.19
2017,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.19
2017,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,498575.13
2017,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,988271.37
2017,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,63812.01
2017,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,425696.96
2017,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,187.27
2017,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,187.27
2018,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,459.7
2018,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,955.75
2018,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,430.71
2018,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,65.11
2018,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.24
2018,AA111,Horticulture and fruit growing,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.24
2018,AA111,Horticulture and fruit growing,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,459696.61
2018,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,955754.63
2018,AA111,Horticulture and fruit growing,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,65109.32
2018,AA111,Horticulture and fruit growing,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,430706.53
2018,AA111,Horticulture and fruit growing,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,242.18
2018,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,242.18
2019,AA111,Horticulture and fruit growing,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,494.11
2019,AA111,Horticulture and fruit growing,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,941.35
2019,AA111,Horticulture and fruit growing,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,386.48
2019,AA111,Horticulture and fruit growing,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,60.53
