year,nzsioc,nzsioc_descriptor,variable,units,magnitude,source,data_value
2020,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,8
2020,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.42
2020,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.42
2020,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,4946456.11
2020,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,5076205.84
2020,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,8003.05
2020,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,121328.47
2020,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,418.21
2020,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,418.21
2021,DD111,Electricity generation and on-selling,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5012.65
2021,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5141.18
2021,DD111,Electricity generation and on-selling,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,117.54
2021,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,10.63
2021,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.36
2021,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.36
2021,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,5012653.36
2021,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,5141183.34
2021,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,10626.29
2021,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,117543.42
2021,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,360.27
2021,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,360.27
2022,DD111,Electricity generation and on-selling,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3313.53
2022,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3433.64
2022,DD111,Electricity generation and on-selling,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,115.77
2022,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.94
2022,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.4
2022,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.4
2022,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3313527.47
2022,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,3433642.36
2022,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3944.65
2022,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,115773.87
2022,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,396.38
2022,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,396.38
2023,DD111,Electricity generation and on-selling,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3109.02
2023,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3214.7
2023,DD111,Electricity generation and on-selling,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,102.23
2023,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.19
2023,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.25
2023,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.25
2023,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3109024.78
2023,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,3214703.55
2023,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3194.78
2023,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,102234.38
2023,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,249.61
2023,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,249.61
2007,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1.69
2007,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,119.34
2007,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,110.28
2007,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2007,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7
2007,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.36
2007,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.36
2007,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,1691.94
2007,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,119340.7
2007,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,9.48
2007,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,110283.18
2007,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,359.71
2007,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,6996.39
2007,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,7356.09
2008,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.13
2008,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,109.97
2008,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,101.08
2008,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2008,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.32
2008,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.43
2008,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.75
2008,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2128.26
2008,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,109972.52
2008,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.37
2008,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,101082.11
2008,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,432.77
2008,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,6318.01
2008,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,6750.78
2009,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.81
2009,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,91.4
2009,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,79.37
2009,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2009,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,8.71
2009,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.5
2009,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,9.2
2009,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2811.48
2009,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,91395.63
2009,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,14.02
2009,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,79369.05
2009,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,495.82
2009,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,8705.25
2009,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,9201.07
2010,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.86
2010,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,84.82
2010,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,72.57
2010,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2010,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,8.89
2010,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.48
2010,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,9.37
2010,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2864.37
2010,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,84819.81
2010,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,12.96
2010,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,72569.95
2010,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,481.26
2010,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,8891.28
2010,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,9372.54
2011,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.86
2011,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,93.92
2011,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,83.97
2011,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2011,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.53
2011,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.54
2011,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.08
2011,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2856.81
2011,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,93917.32
2011,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.77
2011,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,83970.17
2011,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,544.39
2011,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,6534.18
2011,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,7078.56
2012,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.72
2012,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,85.18
2012,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,73.11
2012,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2012,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,8.7
2012,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.64
2012,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,9.34
2012,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2715.69
2012,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,85179.4
2012,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.47
2012,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,73111.06
2012,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,638.53
2012,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,8702.65
2012,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,9341.18
2013,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.46
2013,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,69.94
2013,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,63.54
2013,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2013,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.3
2013,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.63
2013,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.92
2013,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2462.8
2013,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,69937.38
2013,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.39
2013,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,63538.71
2013,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,627.14
2013,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,3297.34
2013,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,3924.48
2014,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.8
2014,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,77.06
2014,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,68.97
2014,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2014,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4.79
2014,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.5
2014,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.28
2014,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2796.01
2014,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,77056.34
2014,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,13.26
2014,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,68966.35
2014,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,495.59
2014,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,4785.14
2014,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,5280.73
2015,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.76
2015,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,79.59
2015,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,70.62
2015,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2015,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.67
2015,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.54
2015,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.2
2015,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2758.07
2015,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,79594.97
2015,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,12.77
2015,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,70619.86
2015,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,538.35
2015,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,5665.91
2015,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,6204.27
2016,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.41
2016,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,69.69
2016,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,59.51
2016,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2016,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.18
2016,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.58
2016,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.76
2016,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2413.92
2016,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,69692.77
2016,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,12.41
2016,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,59505.39
2016,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,578.63
2016,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,7182.42
2016,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,7761.05
2017,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.88
2017,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,50.56
2017,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,42.31
2017,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2017,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4.92
2017,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.43
2017,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.36
2017,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2877.93
2017,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,50564.86
2017,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,14.9
2017,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,42314.37
2017,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,433.76
2017,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,4923.9
2017,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,5357.66
2018,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.19
2018,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,88.41
2018,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,80.13
2018,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2018,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4.67
2018,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.41
2018,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.08
2018,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3191.59
2018,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,88414.82
2018,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,13.59
2018,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,80132.61
2018,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,408.41
2018,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,4668.63
2018,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,5077.03
2019,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.07
2019,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,49.69
2019,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,41.66
2019,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2019,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.21
2019,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.73
2019,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.94
2019,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2072.73
2019,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,49686.3
2019,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.22
2019,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,41661.74
2019,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,727.96
2019,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,5212.65
2019,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,5940.61
2020,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.23
